,Pick,Years After Draft,variable,NHL Probability,Star Probability
283,17,11,Estimate,0.530062418870884,0.07871335939137786
284,17,12,Estimate,0.47072762840042387,0.07900357650690164
285,17,13,Estimate,,
286,17,14,Estimate,,
287,17,15,Estimate,,
288,17,16,Estimate,,
289,18,0,Estimate,0.0500401568924664,0.004730591917310188
290,18,1,Estimate,0.2324923793981852,0.024221220308887237
291,18,2,Estimate,0.41488415672702167,0.05276230717907883
292,18,3,Estimate,0.5537492493487096,0.08249851699629196
293,18,4,Estimate,0.636827015960865,0.10361189600912155
294,18,5,Estimate,0.6810613391759052,0.12085201705507845
295,18,6,Estimate,0.6896067903360037,0.14113439937730154
296,18,7,Estimate,0.6662493847467971,0.15455936745801088
297,18,8,Estimate,0.6210159918857839,0.1453556137590039
298,18,9,Estimate,0.5730940374906739,0.11560354227895302
299,18,10,Estimate,0.541778697757259,0.08269810321081195
300,18,11,Estimate,0.5115144079410231,0.0728703191420917
301,18,12,Estimate,0.4527742713601623,0.07604067724905447
302,18,13,Estimate,,
303,18,14,Estimate,,
304,18,15,Estimate,,
305,18,16,Estimate,,
306,19,0,Estimate,0.047619725614870975,0.004948930777957582
307,19,1,Estimate,0.22277548532338984,0.023395241260196237
308,19,2,Estimate,0.39998310692479216,0.04984712507837959
309,19,3,Estimate,0.5366216011491025,0.07706334807617916
310,19,4,Estimate,0.6193610076892035,0.09626621517699246
311,19,5,Estimate,0.664082888294216,0.11212201688859036
312,19,6,Estimate,0.6718004670466334,0.13146513239050783
313,19,7,Estimate,0.6478224599306022,0.14488445080375056
314,19,8,Estimate,0.604168754937803,0.13682860541904757
315,19,9,Estimate,0.5564449720223852,0.10893572519272882
316,19,10,Estimate,0.5236327611535813,0.07748135223852647
317,19,11,Estimate,0.4939849720334206,0.06838608255464608
318,19,12,Estimate,0.43735937236548816,0.07351601225466324
319,19,13,Estimate,,
320,19,14,Estimate,,
321,19,15,Estimate,,
322,19,16,Estimate,,
323,20,0,Estimate,0.046218339221791346,0.005165245687596093
324,20,1,Estimate,0.21489466594737877,0.022956272293599422
325,20,2,Estimate,0.3871182983841902,0.04769308876840034
326,20,3,Estimate,0.5216602396113402,0.07269662648024969
327,20,4,Estimate,0.6038881864456691,0.0901099021874106
328,20,5,Estimate,0.6476758308285211,0.10470660222257137
329,20,6,Estimate,0.6527997980152247,0.12317754804414009
330,20,7,Estimate,0.6277204743330624,0.13669065998943547
331,20,8,Estimate,0.5863031062925691,0.13056570065683576
332,20,9,Estimate,0.5403868779769817,0.10523429608714034
333,20,10,Estimate,0.5073487553644703,0.07502747634933048
334,20,11,Estimate,0.47871250083409184,0.06578116910267229
335,20,12,Estimate,0.4255820444899575,0.07146612367407765
336,20,13,Estimate,,
337,20,14,Estimate,,
338,20,15,Estimate,,
339,20,16,Estimate,,
340,21,0,Estimate,0.045822900621275905,0.0053071169790448545
341,21,1,Estimate,0.20855875680332017,0.02276860314080121
342,21,2,Estimate,0.3758105227724464,0.04621280667623273
343,21,3,Estimate,0.5082034819485624,0.06936420032231265
344,21,4,Estimate,0.5896997218119528,0.0854027803519297
345,21,5,Estimate,0.6311416313727382,0.09930621612582544
346,21,6,Estimate,0.6323264077873765,0.11735650704978827
347,21,7,Estimate,0.6061540623678076,0.13124878225727216
348,21,8,Estimate,0.5677726707647152,0.12751296891524583
349,21,9,Estimate,0.5251602924288769,0.10494098370110737
350,21,10,Estimate,0.493104558654334,0.07563274189893536
351,21,11,Estimate,0.465864711608561,0.06531587008386977
352,21,12,Estimate,0.4174112292152086,0.0697486226906954
353,21,13,Estimate,,
354,21,14,Estimate,,
355,21,15,Estimate,,
356,21,16,Estimate,,
357,22,0,Estimate,0.04633125657648501,0.005340101540802191
358,22,1,Estimate,0.20304899929454087,0.022602576708999185
359,22,2,Estimate,0.36508414173844195,0.045062079091806116
360,22,3,Estimate,0.4952380797645366,0.06670069834662987
361,22,4,Estimate,0.5759759469919767,0.08203359223495241
362,22,5,Estimate,0.614059495374412,0.09619113755265707
363,22,6,Estimate,0.6105424774244665,0.11448841349418307
364,22,7,Estimate,0.5835279889463768,0.12892480176453877
365,22,8,Estimate,0.5487667910034955,0.12745884320423131
366,22,9,Estimate,0.5105104593596775,0.10746619134485719
367,22,10,Estimate,0.480434551864821,0.07892822944010444
368,22,11,Estimate,0.4550546800939673,0.06688942165141809
369,22,12,Estimate,0.41222934367731506,0.06823532193178569
370,22,13,Estimate,,
371,22,14,Estimate,,
372,22,15,Estimate,,
373,22,16,Estimate,,
374,23,0,Estimate,0.047486544863718755,0.005279897623249137
375,23,1,Estimate,0.19749033769098534,0.02223062956775206
376,23,2,Estimate,0.35387329519417,0.04379440799915117
377,23,3,Estimate,0.48187001891991493,0.06418815952071974
378,23,4,Estimate,0.5622310849351665,0.0795739003164383
379,23,5,Estimate,0.5966588608897736,0.09502941168808421
380,23,6,Estimate,0.5882992471731479,0.11416828955405256
381,23,7,Estimate,0.5606278525376794,0.1289828492449932
382,23,8,Estimate,0.5295264571989746,0.12912411270190222
383,23,9,Estimate,0.4960061782716133,0.11137749781748695
384,23,10,Estimate,0.46858932018768945,0.08391405182884956
385,23,11,Estimate,0.4455630044875505,0.07001732231342246
386,23,12,Estimate,0.4089210843267378,0.06691345902894306
387,23,13,Estimate,,
388,23,14,Estimate,,
389,23,15,Estimate,,
390,23,16,Estimate,,
391,24,0,Estimate,0.04886166403137332,0.0051771563068354134
392,24,1,Estimate,0.1911367454158447,0.02152392468789088
393,24,2,Estimate,0.34141678642634193,0.042070873190795326
394,24,3,Estimate,0.46766274480857306,0.06138885806494558
395,24,4,Estimate,0.5484763373917896,0.07742051774747954
396,24,5,Estimate,0.5797199932272971,0.09490490595295722
397,24,6,Estimate,0.5668685911831347,0.11511911358652209
398,24,7,Estimate,0.5383956223338549,0.12981863612919917
399,24,8,Estimate,0.5102670729902591,0.13069115061146996
400,24,9,Estimate,0.4811033288050044,0.11491701146935937
401,24,10,Estimate,0.456579899942967,0.08918315793916426
402,24,11,Estimate,0.4361937258083408,0.07387292769980795
403,24,12,Estimate,0.40562550608438935,0.06583540985583868
404,24,13,Estimate,,
405,24,14,Estimate,,
406,24,15,Estimate,,
407,24,16,Estimate,,
408,25,0,Estimate,0.04994142306215039,0.005087494750441916
409,25,1,Estimate,0.1835777835609952,0.02049214923296109
410,25,2,Estimate,0.3274917151046981,0.03979642435969474
411,25,3,Estimate,0.45270278112746265,0.058110785455008106
412,25,4,Estimate,0.5350544254913563,0.07499741991646283
413,25,5,Estimate,0.5641152903602812,0.09459941405583142
414,25,6,Estimate,0.5473761108431712,0.1156064515224655
415,25,7,Estimate,0.5175300898414401,0.12956028746595033
416,25,8,Estimate,0.4910210048388467,0.1304925914147782
417,25,9,Estimate,0.4651443068058451,0.11656472826484246
418,25,10,Estimate,0.4431786677452203,0.09324823553809228
419,25,11,Estimate,0.42522559503824475,0.0774114432616763
420,25,12,Estimate,0.3997960063349383,0.06499861021381834
421,25,13,Estimate,,
422,25,14,Estimate,,
423,25,15,Estimate,,
424,25,16,Estimate,,
425,26,0,Estimate,0.05028964442820269,0.005045125251362747
426,26,1,Estimate,0.17483835749608861,0.019254519294018658
427,26,2,Estimate,0.3124427591676646,0.03712355309828245
428,26,3,Estimate,0.4374244146762206,0.054447601207151454
429,26,4,Estimate,0.5222990951171497,0.07196483465191722
430,26,5,Estimate,0.550323942713033,0.09307171147652245
431,26,6,Estimate,0.5303528405247873,0.11412850094344681
432,26,7,Estimate,0.49828561977055075,0.1267997200383188
433,26,8,Estimate,0.47169650082212744,0.12755592756173653
434,26,9,Estimate,0.4475704339630321,0.11542361628091005
435,26,10,Estimate,0.4272339322686572,0.0949001694338257
436,26,11,Estimate,0.41090143234169807,0.07959967560591599
437,26,12,Estimate,0.3890073948422783,0.06426937456849097
438,26,13,Estimate,,
439,26,14,Estimate,,
440,26,15,Estimate,,
441,26,16,Estimate,,
442,27,0,Estimate,0.049718577694290514,0.005052309040222009
443,27,1,Estimate,0.16536918668699102,0.017974978827442745
444,27,2,Estimate,0.29704901268239514,0.03435588999439518
445,27,3,Estimate,0.4223503378647453,0.0507097697301916
446,27,4,Estimate,0.5102544481959529,0.06835333988530597
447,27,5,Estimate,0.5382077070412208,0.08990452952783083
448,27,6,Estimate,0.515661920560652,0.11005303162780324
449,27,7,Estimate,0.48060561849229777,0.12112323429709626
450,27,8,Estimate,0.4523672811336502,0.12181476691685755
451,27,9,Estimate,0.4283249685310059,0.11134898750780062
452,27,10,Estimate,0.4082722443683199,0.09352316219180706
453,27,11,Estimate,0.39233631410909897,0.07971197862266499
454,27,12,Estimate,0.37218685627095593,0.06339944036867193
